actor,dialogue,date,Party
Welker,"Alright. Vice President Biden, same question to you. What will you say during your inaugural address to Americans who did not vote for you?",2020-10-22,Moderator
Biden,"I will say, Im an American president. I represent all of you whether you voted for me or against me. And Im going to make sure that youre represented. Im going to give you hope. Were going to move. Were going to choose science over fiction. Were going to choose hope over fear. Were going to choose to move forward because we have enormous opportunities, enormous opportunities to make things better. We can grow this economy. We can deal with systemic racism. At the same time, we can make sure that our economy is being run, and moved, and motivated by clean energy, creating millions of new jobs. And thats the fact, thats what were going to do. And Im going to say, as I said at the beginning, what is on the ballot here is the character of this country. Decency. Honor. Respect. Treating people with dignity. Making sure that everyone has an even chance. Now, Im going to make sure you get that. You havent been getting it the last four years.",2020-10-22,Democrat
Welker,"Alright. I want to thank you both for a very robust hour and a half, a fantastic debate. Really appreciate it. President Trump, former Vice President Joe Biden. Thank you to Belmont University for hosting us tonight and most importantly, thank you to those watching tonight. Election Day is November 3rd. Dont forget to vote. Thank you everyone and have a great night.",2020-10-22,Moderator
Lehrer,"Good evening from the Ford Center for the Performing Arts at the University of Mississippi in Oxford. Im Jim Lehrer of the NewsHour on PBS, and I welcome you to the first of the 2008 presidential debates between the Republican nominee, Senator John McCain of Arizona, and the Democratic nominee, Senator Barack Obama of Illinois. The Commission on Presidential Debates is the sponsor of this event and the three other presidential and vice presidential debates coming in October. Tonights will primarily be about foreign policy and national security, which, by definition, includes the global financial crisis. It will be divided roughly into nine-minute segments. Direct exchanges between the candidates and moderator follow-ups are permitted after each candidate has two minutes to answer the lead question in an order determined by a coin toss. The specific subjects and questions were chosen by me. They have not been shared or cleared with anyone. The audience here in the hall has promised to remain silent, no cheers, no applause, no noise of any kind, except right now, as we welcome Senators Obama and McCain. Let me begin with something General Eisenhower said in his 1952 presidential campaign. Quote, We must achieve both security and solvency. In fact, the foundation of military strength is economic strength, end quote. With that in mind, the first lead question. First response to you, Senator Obama. You have two minutes.",2008-09-26,Moderator
Obama,"Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, Ole Miss, for hosting us tonight. I cant think of a more important time for us to talk about the future of the country. You know, we are at a defining moment in our history. Our nation is involved in two wars, and we are going through the worst financial crisis since the Great Depression. And although weve heard a lot about Wall Street, those of you on Main Street I think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy. So we have to move swiftly, and we have to move wisely. And Ive put forward a series of proposals that make sure that we protect taxpayers as we engage in this important rescue effort. Number one, weve got to make sure that weve got oversight over this whole process; $700 billion, potentially, is a lot of money. Number two, weve got to make sure that taxpayers, when they are putting their money at risk, have the possibility of getting that money back and gains, if the market  and when the market returns. Number three, weve got to make sure that none of that money is going to pad CEO bank accounts or to promote golden parachutes. And, number four, weve got to make sure that were helping homeowners, because the root problem here has to do with the foreclosures that are taking place all across the country. Now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by George Bush, supported by Senator McCain, a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down. It hasnt worked. And I think that the fundamentals of the economy have to be measured by whether or not the middle class is getting a fair shake. Thats why Im running for president, and thats what I hope were going to be talking about tonight.",2008-09-26,Democrat
Lehrer,"Senator McCain, two minutes.",2008-09-26,Moderator
Mccain,"Well, thank you, Jim. And thanks to everybody. And I do have a sad note tonight. Senator Kennedy is in the hospital. Hes a dear and beloved friend to all of us. Our thoughts and prayers go out to the lion of the Senate. I also want to thank the University of Mississippi for hosting us tonight. And, Jim, I  Ive been not feeling too great about a lot of things lately. So have a lot of Americans who are facing challenges. But Im feeling a little better tonight, and Ill tell you why. Because as were here tonight in this debate, we are seeing, for the first time in a long time, Republicans and Democrats together, sitting down, trying to work out a solution to this fiscal crisis that were in. And have no doubt about the magnitude of this crisis. And were not talking about failure of institutions on Wall Street. Were talking about failures on Main Street, and people who will lose their jobs, and their credits, and their homes, if we dont fix the greatest fiscal crisis, probably in  certainly in our time, and Ive been around a little while. But the point is  the point is, we have finally seen Republicans and Democrats sitting down and negotiating together and coming up with a package. This package has transparency in it. It has to have accountability and oversight. It has to have options for loans to failing businesses, rather than the government taking over those loans. We have to  it has to have a package with a number of other essential elements to it. And, yes, I went back to Washington, and I met with my Republicans in the House of Representatives. And they werent part of the negotiations, and I understand that. And it was the House Republicans that decided that they would be part of the solution to this problem. But I want to emphasize one point to all Americans tonight. This isnt the beginning of the end of this crisis. This is the end of the beginning, if we come out with a package that will keep these institutions stable. And weve got a lot of work to do. And weve got to create jobs. And one of the areas, of course, is to eliminate our dependence on foreign oil.",2008-09-26,Republican
Lehrer,"All right, lets go back to my question. How do you all stand on the recovery plan? And talk to each other about it. Weve got five minutes. We can negotiate a deal right here.",2008-09-26,Moderator
Obama,"We havent seen the language yet. And I do think that theres constructive work being done out there. So, for the viewers who are watching, I am optimistic about the capacity of us to come together with a plan. Two years ago, I warned that, because of the subprime lending mess, because of the lax regulation, that we were potentially going to have a problem and tried to stop some of the abuses in mortgages that were taking place at the time. Last year, I wrote to the secretary of the Treasury to make sure that he understood the magnitude of this problem and to call on him to bring all the stakeholders together to try to deal with it. So  so the question, I think, that weve got to ask ourselves is, yes, weve got to solve this problem short term. And we are going to have to intervene; theres no doubt about that. But were also going to have to look at, how is it that we shredded so many regulations? We did not set up a 21st-century regulatory framework to deal with these problems. And that in part has to do with an economic philosophy that says that regulation is always bad.",2008-09-26,Democrat
Lehrer,"Are you going to vote for the plan, Senator McCain?",2008-09-26,Moderator
Mccain,I  I hope so. And I,2008-09-26,Republican
Lehrer,As a United States senator,2008-09-26,Moderator
Mccain,Sure.,2008-09-26,Republican
Lehrer, youre going to vote for the plan?,2008-09-26,Moderator
Mccain,"Sure. But  but let me  let me point out, I also warned about Fannie Mae and Freddie Mac and warned about corporate greed and excess, and CEO pay, and all that. A lot of us saw this train wreck coming. But theres also the issue of responsibility. Youve mentioned President Dwight David Eisenhower. President Eisenhower, on the night before the Normandy invasion, went into his room, and he wrote out two letters. One of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever. And he wrote out another letter, and that was a letter of resignation from the United States Army for the failure of the landings at Normandy. Somehow weve lost that accountability. Ive been heavily criticized because I called for the resignation of the chairman of the Securities and Exchange Commission. Weve got to start also holding people accountable, and weve got to reward people who succeed. But somehow in Washington today  and Im afraid on Wall Street  greed is rewarded, excess is rewarded, and corruption  or certainly failure to carry out our responsibility is rewarded. As president of the United States, people are going to be held accountable in my administration. And I promise you that that will happen.",2008-09-26,Republican
Lehrer,"Do you have something directly to say, Senator Obama, to Senator McCain about what he just said?",2008-09-26,Moderator
Obama,"Well, I think Senator McCains absolutely right that we need more responsibility, but we need it not just when theres a crisis. I mean, weve had years in which the reigning economic ideology has been whats good for Wall Street, but not whats good for Main Street. And there are folks out there whove been struggling before this crisis took place. And thats why its so important, as we solve this short-term problem, that we look at some of the underlying issues that have led to wages and incomes for ordinary Americans to go down, the  a health care system that is broken, energy policies that are not working, because, you know, 10 days ago, John said that the fundamentals of the economy are sound.",2008-09-26,Democrat
Lehrer,Say it directly to him.,2008-09-26,Moderator
Obama,I do not think that they are.,2008-09-26,Democrat
Lehrer,Say it directly to him.,2008-09-26,Moderator
Obama,"Well, the  John, 10 days ago, you said that the fundamentals of the economy are sound. And",2008-09-26,Democrat
Mccain,Are you afraid I couldnt hear him?,2008-09-26,Republican
Lehrer,Im just determined to get you all to talk to each other. Im going to try.,2008-09-26,Moderator
Obama,"The  and I just fundamentally disagree. And unless we are holding ourselves accountable day in, day out, not just when theres a crisis for folks who have power and influence and can hire lobbyists, but for the nurse, the teacher, the police officer, who, frankly, at the end of each month, theyve got a little financial crisis going on. Theyre having to take out extra debt just to make their mortgage payments. We havent been paying attention to them. And if you look at our tax policies, its a classic example.",2008-09-26,Democrat
Lehrer,"So, Senator McCain, do you agree with what Senator Obama just said? And, if you dont, tell him what you disagree with.",2008-09-26,Moderator
Mccain,"No, I  look, weve got to fix the system. Weve got fundamental problems in the system. And Main Street is paying a penalty for the excesses and greed in Washington, D.C., and in the Wall Street. So theres no doubt that we have a long way to go. And, obviously, stricter interpretation and consolidation of the various regulatory agencies that werent doing their job, that has brought on this crisis. But I have a fundamental belief in the goodness and strength of the American worker. And the American worker is the most productive, the most innovative. America is still the greatest producer, exporter and importer. But weve got to get through these times, but I have a fundamental belief in the United States of America. And I still believe, under the right leadership, our best days are ahead of us.",2008-09-26,Republican
Lehrer,"All right, lets go to the next lead question, which is essentially following up on this same subject.",2008-09-26,Moderator
Mccain,"Well, the first thing we have to do is get spending under control in Washington. Its completely out of control. Its gone  we have now presided over the largest increase in the size of government since the Great Society. We Republicans came to power to change government, and government changed us. And the  the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because its a gateway. Its a gateway to out-of-control spending and corruption. And we have former members of Congress now residing in federal prison because of the evils of this earmarking and pork-barrel spending. You know, we spent $3 million to study the DNA of bears in Montana. I dont know if that was a criminal issue or a paternal issue, but the fact is that it was $3 million of our taxpayers money. And it has got to be brought under control. As president of the United States, I want to assure you, Ive got a pen. This ones kind of old. Ive got a pen, and Im going to veto every single spending bill that comes across my desk. I will make them famous. You will know their names. Now, Senator Obama, you wanted to know one of the differences. He has asked for $932 million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate. I suggest that people go up on the Web site of Citizens Against Government Waste, and theyll look at those projects. That kind of thing is not the way to rein in runaway spending in Washington, D.C. Thats one of the fundamental differences that Senator Obama and I have.",2008-09-26,Republican
Lehrer,"Senator Obama, two minutes.",2008-09-26,Moderator
Obama,"Well, Senator McCain is absolutely right that the earmarks process has been abused, which is why I suspended any requests for my home state, whether it was for senior centers or what have you, until we cleaned it up. And hes also right that oftentimes lobbyists and special interests are the ones that are introducing these kinds of requests, although that wasnt the case with me. But lets be clear: Earmarks account for $18 billion in last years budget. Senator McCain is proposing  and this is a fundamental difference between us  $300 billion in tax cuts to some of the wealthiest corporations and individuals in the country, $300 billion. Now, $18 billion is important; $300 billion is really important. And in his tax plan, you would have CEOs of Fortune 500 companies getting an average of $700,000 in reduced taxes, while leaving 100 million Americans out. So my attitude is, weve got to grow the economy from the bottom up. What Ive called for is a tax cut for 95 percent of working families, 95 percent. And that means that the ordinary American out there whos collecting a paycheck every day, theyve got a little extra money to be able to buy a computer for their kid, to fill up on this gas that is killing them. And over time, that, I think, is going to be a better recipe for economic growth than the  the policies of President Bush that John McCain wants to  wants to follow.",2008-09-26,Democrat
Lehrer,Senator McCain?,2008-09-26,Moderator
Mccain,"Well, again, I dont mean to go back and forth, but he",2008-09-26,Republican
Lehrer,"No, thats fine.",2008-09-26,Moderator
Mccain,"Senator Obama suspended those requests for pork-barrel projects after he was running for president of the United States. He didnt happen to see that light during the first three years as a member of the United States Senate, $932 million in requests. Maybe to Senator Obama its not a lot of money. But the point is that  you see, I hear this all the time. Its only $18 billion. Do you know that its tripled in the last five years? Do you know that its gone completely out of control to the point where it corrupts people? It corrupts people. Thats why we have, as I said, people under federal indictment and charges. Its a system thats got to be cleaned up. I have fought against it my career. I have fought against it. I was called the sheriff, by the  one of the senior members of the Appropriations Committee. I didnt win Miss Congeniality in the United States Senate. Now, Senator Obama didnt mention that, along with his tax cuts, he is also proposing some $800 billion in new spending on new programs. Now, thats a fundamental difference between myself and Senator Obama. I want to cut spending. I want to keep taxes low. The worst thing we could do in this economic climate is to raise peoples taxes.",2008-09-26,Republican
Obama,"I  I dont know where John is getting his figures. Lets just be clear. What I do is I close corporate loopholes, stop providing tax cuts to corporations that are shipping jobs overseas so that were giving tax breaks to companies that are investing here in the United States. I make sure that we have a health care system that allows for everyone to have basic coverage. I think those are pretty important priorities. And I pay for every dime of it. But lets go back to the original point. John, nobody is denying that $18 billion is important. And, absolutely, we need earmark reform. And when Im president, I will go line by line to make sure that we are not spending money unwisely. But the fact is that eliminating earmarks alone is not a recipe for how were going to get the middle class back on track.",2008-09-26,Democrat
Obama,"And when you look at your tax policies that are directed primarily at those who are doing well, and you are neglecting people who are really struggling right now, I think that is a continuation of the last eight years, and we cant afford another four.",2008-09-26,Democrat
Lehrer,"Respond directly to him about that, to Senator Obama about that, about the  hes made it twice now, about your tax  your policies about tax cuts.",2008-09-26,Moderator
Mccain,"Well  well, let me give you an example of what Senator Obama finds objectionable, the business tax. Right now, in the United States of America, business pays the second-highest business taxes in the world, 35 percent. Ireland pays 11 percent. Now, if youre a business person, and you can locate any place in the world, then, obviously, if you go to the country where its 11 percent tax versus 35 percent, youre going to be able to create jobs, increase your business, make more investment, et cetera. I want to cut that business tax. I want to cut it so that businesses will remain in  in the United States of America and create jobs. But, again, I want to return. Its a lot more than $18 billion in pork-barrel spending. I can tell you, its rife. Its throughout. The United States Senate will take up a continuing resolution tomorrow or the next day, sometime next week, with 2,000  2,000  look at them, my friends. Look at them. Youll be appalled. And Senator Obama is a recent convert, after requesting $932 million worth of pork-barrel spending projects. So the point is, I want people to have tax cuts. I want every family to have a $5,000 refundable tax credit so they can go out and purchase their own health care. I want to double the dividend from $3,500 to $7,000 for every dependent child in America. I know that the worst thing we could possibly do is to raise taxes on anybody, and a lot of people might be interested in Senator Obamas definition of rich.",2008-09-26,Republican
Lehrer,"Senator Obama, you have a question for Senator McCain on that?",2008-09-26,Moderator
Obama,"Well, let me just make a couple of points.",2008-09-26,Democrat
Lehrer,All right.,2008-09-26,Moderator
Obama,"My definition  heres what I can tell the American people: 95 percent of you will get a tax cut. And if you make less than $250,000, less than a quarter-million dollars a year, then you will not see one dimes worth of tax increase. Now, John mentioned the fact that business taxes on paper are high in this country, and hes absolutely right. Heres the problem: There are so many loopholes that have been written into the tax code, oftentimes with support of Senator McCain, that we actually see our businesses pay effectively one of the lowest tax rates in the world. And what that means, then, is that there are people out there who are working every day, who are not getting a tax cut, and you want to give them more. Its not like you want to close the loopholes. You just want to add an additional tax cut over the loopholes. And thats a problem. Just one last point I want to make, since Senator McCain talked about providing a $5,000 health credit. Now, what he doesnt tell you is that he intends to, for the first time in history, tax health benefits. So you may end up getting a $5,000 tax credit. Heres the only problem: Your employer now has to pay taxes on the health care that youre getting from your employer. And if you end up losing your health care from your employer, youve got to go out on the open market and try to buy it. It is not a good deal for the American people. But its an example of this notion that the market can always solve everything and that the less regulation we have, the better off were going to be.",2008-09-26,Democrat
Mccain,"Well, you know, let me just",2008-09-26,Republican
Lehrer,Weve got to go to another lead question.,2008-09-26,Moderator
Mccain,"I know we have to, but this is a classic example of walking the walk and talking the talk. We had an energy bill before the United States Senate. It was festooned with Christmas tree ornaments. It had all kinds of breaks for the oil companies, I mean, billions of dollars worth. I voted against it; Senator Obama voted for it.",2008-09-26,Republican
Obama,"John, you want to give oil companies another $4 billion.",2008-09-26,Democrat
Mccain,"Youve got to look at our record. Youve got to look at our records. Thats the important thing. Whos the person who has believed that the best thing for America is  is to have a tax system that is fundamentally fair? And Ive fought to simplify it, and I have proposals to simplify it. Lets give every American a choice: two tax brackets, generous dividends, and, two  and let Americans choose whether they want the  the existing tax code or they want a new tax code. And so, again, look at the record, particularly the energy bill. But, again, Senator Obama has shifted on a number of occasions. He has voted in the United States Senate to increase taxes on people who make as low as $42,000 a year.",2008-09-26,Republican
Obama,"Thats not true, John. Thats not true.",2008-09-26,Democrat
Mccain,"And thats just a fact. Again, you can look it up.",2008-09-26,Republican
Obama,"Look, its just not true. And if we want to talk about oil company profits, under your tax plan, John  this is undeniable  oil companies would get an additional $4 billion in tax breaks.",2008-09-26,Democrat
Mccain,"With all due respect, you already gave them to the oil companies.",2008-09-26,Republican
Obama,"No, but, John, the fact of the matter is, is that I was opposed to those tax breaks, tried to strip them out. Weve got an energy bill on the Senate floor right now that contains some good stuff, some stuff you want, including drilling off-shore, but youre opposed to it because it would strip away those tax breaks that have gone to oil companies.",2008-09-26,Democrat
Lehrer,"All right. All right, speaking of things that both of you want, another lead question, and it has to do with the rescue  the financial rescue thing that we started  started asking about.",2008-09-26,Moderator
Obama,"Well, there are a range of things that are probably going to have to be delayed. We dont yet know what our tax revenues are going to be. The economy is slowing down, so its hard to anticipate right now what the budget is going to look like next year. But theres no doubt that were not going to be able to do everything that I think needs to be done. There are some things that I think have to be done. We have to have energy independence, so Ive put forward a plan to make sure that, in 10 years time, we have freed ourselves from dependence on Middle Eastern oil by increasing production at home, but most importantly by starting to invest in alternative energy, solar, wind, biodiesel, making sure that were developing the fuel-efficient cars of the future right here in the United States, in Ohio and Michigan, instead of Japan and South Korea. We have to fix our health care system, which is putting an enormous burden on families. Just  a report just came out that the average deductible went up 30 percent on American families. They are getting crushed, and many of them are going bankrupt as a consequence of health care. Im meeting folks all over the country. We have to do that now, because it will actually make our businesses and our families better off. The third thing we have to do is weve got to make sure that were competing in education. Weve got to invest in science and technology. China had a space launch and a space walk. Weve got to make sure that our children are keeping pace in math and in science. And one of the things I think we have to do is make sure that college is affordable for every young person in America. And I also think that were going to have to rebuild our infrastructure, which is falling behind, our roads, our bridges, but also broadband lines that reach into rural communities. Also, making sure that we have a new electricity grid to get the alternative energy to population centers that are using them. So there are some  some things that weve got to do structurally to make sure that we can compete in this global economy. We cant shortchange those things. Weve got to eliminate programs that dont work, and weve got to make sure that the programs that we do have are more efficient and cost less.",2008-09-26,Democrat
Lehrer,"Are you  what priorities would you adjust, as president, Senator McCain, because of the  because of the financial bailout cost?",2008-09-26,Moderator
Mccain,"Look, we, no matter what, weve got to cut spending. We have  as I said, weve let government get completely out of control. Senator Obama has the most liberal voting record in the United States Senate. Its hard to reach across the aisle from that far to the left. The point  the point is  the point is, we need to examine every agency of government. First of all, by the way, Id eliminate ethanol subsidies. I oppose ethanol subsidies. I think that we have to return  particularly in defense spending, which is the largest part of our appropriations  we have to do away with cost-plus contracts. We now have defense systems that the costs are completely out of control. We tried to build a little ship called the Littoral Combat Ship that was supposed to cost $140 million, ended up costing $400 million, and we still havent done it. So we need to have fixed-cost contracts. We need very badly to understand that defense spending is very important and vital, particularly in the new challenges we face in the world, but we have to get a lot of the cost overruns under control. I know how to do that.",2008-09-26,Republican
Mccain,"I saved the taxpayers $6.8 billion by fighting a contract that was negotiated between Boeing and DOD that was completely wrong. And we fixed it and we killed it and the people ended up in federal prison so I know how to do this because Ive been involved these issues for many, many years. But I think that we have to examine every agency of government and find out those that are doing their job and keep them and find out those that arent and eliminate them and well have to scrub every agency of government.",2008-09-26,Republican
Lehrer,But if I hear the two of you correctly neither one of you is suggesting any major changes in what you want to do as president as a result of the financial bailout? Is that what youre saying?,2008-09-26,Moderator
Obama,"No. As I said before, Jim, there are going to be things that end up having to be",2008-09-26,Democrat
Lehrer,Like what?,2008-09-26,Moderator
Obama," deferred and delayed. Well, look, I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil. That is a big project. That is a multi-year project.",2008-09-26,Democrat
Lehrer,Not willing to give that up?,2008-09-26,Moderator
Obama,"Not willing to give up the need to do it but there may be individual components that we cant do. But John is right we have to make cuts. We right now give $15 billion every year as subsidies to private insurers under the Medicare system. Doesnt work any better through the private insurers. They just skim off $15 billion. That was a give away and part of the reason is because lobbyists are able to shape how Medicare works. They did it on the Medicaid prescription drug bill and we have to change the culture. Tom  or John mentioned me being wildly liberal. Mostly thats just me opposing George Bushs wrong headed policies since Ive been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying well list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that Johns been railing about.",2008-09-26,Democrat
Lehrer,"What Im trying to get at this is this. Excuse me if I may, senator. Trying to get at that you all  one of you is going to be the president of the United States come January. At the  in the middle of a huge financial crisis that is yet to be resolved. And what Im trying to get at is how this is going to affect you not in very specific  small ways but in major ways and the approach to take as to the presidency.",2008-09-26,Moderator
Mccain,"How about a spending freeze on everything but defense, veteran affairs and entitlement programs.",2008-09-26,Republican
Lehrer,Spending freeze?,2008-09-26,Moderator
Mccain,I think we ought to seriously consider with the exceptions of caring for our veterans national defense and several other vital issues.,2008-09-26,Republican
Lehrer,Would you go for that?,2008-09-26,Moderator
Obama,"The problem with a spending freeze is youre using a hatchet where you need a scalpel. There are some programs that are very important that are under funded. I went to increase early childhood education and the notion that we should freeze that when there may be, for example, this Medicare subsidy, I think, doesnt make sense. Let me tell you another place to look for some savings. We are currently spending $10 billion a month in Iraq when they have a $79 billion surplus. It seems to me that if were going to be strong at home as well as strong abroad, that we have to look at bringing that war to a close.",2008-09-26,Democrat
Mccain,"Look, we are sending $700 billion a year overseas to countries that dont like us very much. Some of that money ends up in the hands of terrorist organizations. We have to have wind, tide, solar, natural gas, flex fuel cars and all that but we also have to have offshore drilling and we also have to have nuclear power. Senator Obama opposes both storing and reprocessing of spent nuclear fuel. You cant get there from here and the fact is that we can create 700,000 jobs by building constructing 45 new nuclear power plants by the year 2030. Nuclear power is not only important as far as eliminating our dependence on foreign oil but its also responsibility as far as climate change is concerned. An issue I have been involved in for many, many years and Im proud of the work of the work that Ive done there along with Senator Clinton.",2008-09-26,Republican
Lehrer,"Before we go to another lead question. Let me figure out a way to ask the same question in a slightly different way here. Are you  are you willing to acknowledge both of you that this financial crisis is going to affect the way you rule the country as president of the United States beyond the kinds of things that you have already  I mean, is it a major move? Is it going to have a major affect?",2008-09-26,Moderator
Obama,"Theres no doubt its gonna affect our budgets. There is no doubt about it. Not only  Even if we get all $700 billion back, lets assume the markets recover, were holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit. If were lucky and we do it right, that could potentially happen but in the short term theres an outlay and we may not see that money for a while. And because of the economys slowing down, I think we can also expect less tax revenue so theres no doubt that as president Im going to have to make some tough decision. The only point I want to make is this, that in order to make those tough decisions we have to know what our values are and who were fighting for and what our priorities are and if we are spending $300 billion on tax cuts for people who dont need them and werent even asking for them, and we are leaving out health care which is crushing on people all across the country, then I think we have made a bad decision and I want to make sure were not shortchanging our long term priorities.",2008-09-26,Democrat
Mccain,"Well, I want to make sure were not handing the health care system over to the federal government which is basically what would ultimately happen with Senator Obamas health care plan. I want the families to make decisions between themselves and their doctors. Not the federal government. Look. We have to obviously cut spending. I have fought to cut spending. Senator Obama has $800 billion in new spending programs. I would suggest he start by canceling some of those new spending program that he has. We cant I think adjust spending around to take care of the very much needed programs, including taking care of our veterans but I also want to say again a healthy economy with low taxes would not raising anyones taxes is probably the best recipe for eventually having our economy recover. And spending restraint has got to be a vital part of that. And the reason, one of the major reasons why were in the difficulties we are in today is because spending got out of control. We owe China $500 billion. And spending, I know, can be brought under control because I have fought against excessive spending my entire career. And I got plans to reduce and eliminate unnecessary and wasteful spending and if theres anybody here who thinks there arent agencies of government where spending can be cut and their budgets slashed they have not spent a lot of time in Washington.",2008-09-26,Republican
Obama,"I just want to make this point, Jim. John, its been your president who you said you agreed with 90 percent of the time who presided over this increase in spending. This orgy of spending and enormous deficits you voted for almost all of his budgets. So to stand here and after eight years and say that youre going to lead on controlling spending and, you know, balancing our tax cuts so that they help middle class families when over the last eight years that hasnt happened I think just is, you know, kind of hard to swallow.",2008-09-26,Democrat
Lehrer,Quick response to Senator Obama.,2008-09-26,Moderator
Mccain,"Its well-known that I have not been elected Miss Congeniality in the United States Senate nor with the administration. I have opposed the president on spending, on climate change, on torture of prisoner, on  on Guantanamo Bay. On a  on the way that the Iraq War was conducted. I have a long record and the American people know me very well and that is independent and a maverick of the Senate and Im happy to say that Ive got a partner thats a good maverick along with me now.",2008-09-26,Republican
Lehrer,"All right. Lets go another subject. Lead question, two minutes to you, senator McCain. Much has been said about the lessons of Vietnam. What do you see as the lessons of Iraq?",2008-09-26,Moderator
Mccain,"I think the lessons of Iraq are very clear that you cannot have a failed strategy that will then cause you to nearly lose a conflict. Our initial military success, we went in to Baghdad and everybody celebrated. And then the war was very badly mishandled. I went to Iraq in 2003 and came back and said, weve got to change this strategy. This strategy requires additional troops, it requires a fundamental change in strategy and I fought for it. And finally, we came up with a great general and a strategy that has succeeded. This strategy has succeeded. And we are winning in Iraq. And we will come home with victory and with honor. And that withdrawal is the result of every counterinsurgency that succeeds.",2008-09-26,Republican
Mccain,"And I want to tell you that now that we will succeed and our troops will come home, and not in defeat, that we will see a stable ally in the region and a fledgling democracy. The consequences of defeat would have been increased Iranian influence. It would have been increase in sectarian violence. It would have been a wider war, which the United States of America might have had to come back. So there was a lot at stake there. And thanks to this great general, David Petraeus, and the troops who serve under him, they have succeeded. And we are winning in Iraq, and we will come home. And we will come home as we have when we have won other wars and not in defeat.",2008-09-26,Republican
Lehrer,"Two minutes, how you see the lessons of Iraq, Senator Obama.",2008-09-26,Moderator
Obama,"Well, this is an area where Senator McCain and I have a fundamental difference because I think the first question is whether we should have gone into the war in the first place. Now six years ago, I stood up and opposed this war at a time when it was politically risky to do so because I said that not only did we not know how much it was going to cost, what our exit strategy might be, how it would affect our relationships around the world, and whether our intelligence was sound, but also because we hadnt finished the job in Afghanistan. We hadnt caught bin Laden. We hadnt put al Qaeda to rest, and as a consequence, I thought that it was going to be a distraction. Now Senator McCain and President Bush had a very different judgment. And I wish I had been wrong for the sake of the country and they had been right, but thats not the case. Weve spent over $600 billion so far, soon to be $1 trillion. We have lost over 4,000 lives. We have seen 30,000 wounded, and most importantly, from a strategic national security perspective, al Qaeda is resurgent, stronger now than at any time since 2001. We took our eye off the ball. And not to mention that we are still spending $10 billion a month, when they have a $79 billion surplus, at a time when we are in great distress here at home, and we just talked about the fact that our budget is way overstretched and we are borrowing money from overseas to try to finance just some of the basic functions of our government. So I think the lesson to be drawn is that we should never hesitate to use military force, and I will not, as president, in order to keep the American people safe. But we have to use our military wisely. And we did not use our military wisely in Iraq.",2008-09-26,Democrat
Lehrer,"Do you agree with that, the lesson of Iraq?",2008-09-26,Moderator
Mccain,"The next president of the United States is not going to have to address the issue as to whether we went into Iraq or not. The next president of the United States is going to have to decide how we leave, when we leave, and what we leave behind. Thats the decision of the next president of the United States. Senator Obama said the surge could not work, said it would increase sectarian violence, said it was doomed to failure. Recently on a television program, he said it exceed our wildest expectations. But yet, after conceding that, he still says that he would oppose the surge if he had to decide that again today. Incredibly, incredibly Senator Obama didnt go to Iraq for 900 days and never asked for a meeting with General Petraeus.",2008-09-26,Republican
Lehrer,"Well, lets go at some of these things",2008-09-26,Moderator
Mccain,"Senator Obama is the chairperson of a committee that oversights NATO thats in Afghanistan. To this day, he has never had a hearing.",2008-09-26,Republican
Lehrer,What about that point?,2008-09-26,Moderator
Mccain,"I mean, its remarkable.",2008-09-26,Republican
Lehrer,All right. What about that point?,2008-09-26,Moderator
Obama,Which point? He raised a whole bunch of them.,2008-09-26,Democrat
Lehrer,"I know, OK, lets go to the latter point and well back up. The point about your not having been",2008-09-26,Moderator
Obama,"Look, Im very proud of my vice presidential selection, Joe Biden, who is the chairman of the Senate Foreign Relations Committee, and as he explains, and as John well knows, the issues of Afghanistan, the issues of Iraq, critical issues like that, dont go through my subcommittee because theyre done as a committee as a whole. But thats Senate inside baseball. But lets get back to the core issue here. Senator McCain is absolutely right that the violence has been reduced as a consequence of the extraordinary sacrifice of our troops and our military families. They have done a brilliant job, and General Petraeus has done a brilliant job. But understand, that was a tactic designed to contain the damage of the previous four years of mismanagement of this war. And so John likes  John, you like to pretend like the war started in 2007. You talk about the surge. The war started in 2003, and at the time when the war started, you said it was going to be quick and easy. You said we knew where the weapons of mass destruction were. You were wrong.",2008-09-26,Democrat
Lehrer,Senator Obama,2008-09-26,Moderator
Obama," of judgment, of whether or not  of whether or not  if the question is who is best-equipped as the next president to make good decisions about how we use our military, how we make sure that we are prepared and ready for the next conflict, then I think we can take a look at our judgment.",2008-09-26,Democrat
Lehrer,I have got a lot on the plate here,2008-09-26,Moderator
